n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
4,20,20,13,50,1,731.834568977356,69
4,20,20,13,50,1,741.8704822063446,70
4,20,20,13,50,1,751.8554186820984,71
4,20,20,13,50,1,761.862375497818,72
4,20,20,13,50,1,771.9016788005829,73
4,20,20,13,50,1,781.8951561450958,74
4,20,20,13,50,1,791.9006679058075,75
4,20,20,13,50,1,801.9123604297638,76
4,20,20,13,50,1,811.9126138687134,77
4,20,20,13,50,1,821.9199917316437,78
4,20,20,13,50,1,831.9210686683655,79
4,20,20,13,50,1,841.9552326202393,80
4,20,20,13,50,1,851.9221262931824,81
4,20,20,13,50,1,861.946151971817,82
4,20,20,13,50,1,871.9510443210602,83
4,20,20,13,50,1,881.9324119091034,84
4,20,20,13,50,1,891.9524948596954,85
4,20,20,13,50,1,901.9215624332428,86
4,20,20,13,50,1,911.9685096740723,87
4,20,20,13,50,1,921.9413774013519,88
4,20,20,13,50,1,931.9675095081329,89
4,20,20,13,50,1,941.9583187103271,90
4,20,20,13,50,1,951.944168806076,91
4,20,20,13,50,1,961.945449590683,92
4,20,20,13,50,1,971.9996910095215,93
4,20,20,13,50,1,981.967443227768,94
4,20,20,13,50,1,991.9464688301086,95
4,20,20,13,50,1,1001.9436573982239,96
4,20,20,13,50,1,1011.9343433380127,97
4,20,20,13,50,1,1021.9413468837738,98
4,20,20,13,50,1,1031.9166679382324,99
4,20,20,13,50,1,1041.9274969100952,100
4,20,20,13,50,1,1051.9875404834747,101
4,20,20,13,50,1,1061.9763951301575,102
4,20,20,13,50,1,1071.9358232021332,103
4,20,20,13,50,1,1081.9485466480255,104
4,20,20,13,50,1,1091.9493741989136,105
4,20,20,13,50,1,1102.0178563594818,106
4,20,20,13,50,1,1112.0707988739014,107
